isim,alternatif,durum,tur,kategori,yazar,cizer,son_guncelleme,ozet,c_3,bolum,resim
Yetişimci Yılanın Götünü Kurtarma Öyküsü,"Lǎo Shé Xiū Xiān Chuán, Serpent Ancestor, Snake Immortal: The Tale of a Snake's Cultivation to Immortality, Tale of the Old Snake's Immortal Cultivation, 老蛇修仙�, 老蛇修仙传（蛇祖）",Hiatus,Manhua,"['Aksiyon', 'Dövüş Sanatları', 'Fantastik', 'Seinen']",临时1,临时1,11 Mart 2025,"Yetişimci Yılanın Götünü Kurtarma Öyküsü:[Snake Immortal: The Tale of a Snake’s Cultivation to Immortality]
Köylerin birindi aniden beliren yaşlı yılan “İnsan Görünümlü” adıyla biline bi’ hap tüketir, böylece gelişmiş insan zekası kazanır, artık yetişim yolunda ilerleme şansı vardır fakat Yılanların ömrü sadece 10 yılla sınırlıdır… Acaba 10 yıl boyunca ana karakter olan yılanımız ne badireler atlatacaktır?",,30,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/CVdfbEMqjTBKLdKwOhcLn3IZtjfW6Clw.webp
Sorumlu Zorba,"Iljin in Charge Iljin, The Bully In-Charge, เลวฟาดเลว, 一陣擔當一陣, 不良担当不良, 校霸负责人, 流氓制裁混混, 일진담당일진",Ongoing,Manhwa,"['Aksiyon', 'Dram', 'Seinen', 'Shounen']",GRIMZO,GRIMZO,20 Şubat 2025,"Okulu bırakan Kwon Daegun, yeterlilik sınavına hazırlanıyordu. Bir markette yarı zamanlı bir işte çalışırken bazı haydutlarla kavga etmek zorunda kaldı. Onları kolayca alt eden Kwon Daegun’a, kendisini uzun süredir yakından izleyen bir Eğitim kurumu tarafından “Iljin In Charge/The Bully In Charge” adlı bir proje teklif edildi. Biraz düşündükten sonra teklifi kabul etti ve Eğitim kurumuna ait bir liseye girdi. Eğitim kurumunun verdiği görev ise sırasına göre bu okulun büyük itibar kazanmış güçlü zorbalarını teker teker yenmekti.",,85,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/tqM19YfCCUVijC9rvyCrVNNNVz7nLKak.webp
I Reincarnated as an SSS-Ranked Goblin,"I Reincarnated as an SSS-Ranked Goblin, 転生したらSSS級ゴブリンになりました",Ongoing,Manga,"['Büyü', 'Fantastik', 'İsekai', 'Reenkarnasyon']","MIKI Kazuma [Add, ]",CH Pocket,20 Şubat 2025,"Gözlerimi açtığımda kendimi bir goblin olarak buldum. Yeni nesil bir sanal gerçeklik MMORPG oyununda en düşük seviye canavar olarak yeniden doğmuştum. Küçük kız kardeşim Lily ile birlikte zorlu bir goblin hayatı sürdürdükten sonra, kahramanın düzenlediği bir istila sırasında öldürüldüm. Neden böyle acınası bir ölümü hak etmiştim ki, neden yeniden doğmuştum…?",,26,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/aRJoigEVlCyuxNJNpBZNNLUb5s1hA956.webp
Çıkmıyoruz ki!,,Ongoing,Manhwa,"['Komedi', 'Manhwa', 'Okul Hayatı', 'Romantik']",Song Junhyuk,Kyungmin Lee,19 Ekim 2024,"Çıkmıyoruz ki!:[We Are Not Dating!!]
[Webtoon Karakteri Kang Lim’i yapan stüdyodan yeni seri!]
“Neden birlikte olup olmadığımızı sorup duruyorsun ya?! El ele tutuştuk diye sevgili mi olduk?”
Çift olmayan çiftlerden günlük aşk hikâyeleri!",,35,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/crrMIfmUOYZKvwTnDkorbScNCk0T5iSr.webp
Ringin Kralı,Synopsis King of Violence,Ongoing,Manhwa,"['Aksiyon', 'Dram', 'Seinen']",,,1 Ekim 2024,"Ringin Kralı:[King of Violence]
[Return Of The Mount Hua Sect (Hua Dağı Mezhebi’nin Dönüşü)’nü yapan stüdyodan yeni seri!]
Lee Gilsoo, zorbalarından kurtulmak için okul değiştirmişti. Yeni okulu ilk bakışta cennet gibi görünse de aslında çok farklıydı çünkü Altı Geçit Lisesinde şiddet normal karşılanıyordu ve öğrenciler, sorunlarını özel dövüş alanında yumruklarıyla konuşarak hallediyorlardı.",,20,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/FDNjoLYTiFckXbfaj3sYsrH31Af9zHVk.webp
Büyük Savaş,,Hiatus,Manhwa,"['Dövüş', 'Dövüş Sanatları', 'Macera', 'Okul', 'Okul Hayatı']",SHIN Hyungwook,Kwang-soo,1 Eylül 2024,"Büyük Savaş:[The Great War]
Evinden kovulduktan sonra kaçak bir ailenin lideri olarak yaşayan “Dajun Lim”, hayatta kalmanın zorluklarıyla yüzleşiyor.  Yeonu’yu kaçak ailesinin yanına getirdiğinde İncheon’da engellenemeyen bir domino etkisi oluşur.",,2,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/xVmhhBn4zN8nXB7bqKMfP0wMMofm1Ln5.webp
Gimai Seikatsu,"Days With My Stepsister, Viviendo con mi Hermanastra, 義妹生活",Ongoing,Manga,"['Manga', 'Okul Hayatı', 'Psikolojik', 'Romantizm', 'Shounen', 'Yaşamdan Kesitler']",MIKAWA Ghost,KANADE Yumika,3 Ağustos 2024,"Aynı çatı altında yaşayan sınıf arkadaşlarından erkek ve kız kardeşlere. Babasının yeniden evlenmesinden sonra, Asamura Yuuta yeni bir üvey kız kardeş edinir, okul yılının bir numaralı güzeli olan Ayase Saki. Daha önceki anne-babalarından kadın-erkek ilişkilerinde önemli değerleri öğrenmiş olan çiftler, birbirlerine çok yakın olmama, karşıt olmama, belli belirsiz bir ilişki içerisindeki rahat mesafeyi koruma sözü verirler.",,16.2,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/tS75lAVu6Zq1BJYOOEpioCjKyUKCPiAX.webp
Vermeil in Gold – A Magician Pushes Through the Magical World With the Strongest Disaster,"Kinsou no Vermeil - Gakeppuchi Majutshi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu, Kinsou no Vermeil ~Gakeppuchi Majutshi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu~, Vermeil in Gold, Vermeil in Gold - A Magician Pushes Through the Magical World With the Strongest Disaster, Vermeil in Gold: The Failing Student and the Strongest Scourge Plunge Into the World of Magic, เวอร์มีลแห่งเวทสีทอง ∼ นักอาคมหวิดซิ่วกับอสูรรับใช้สุดแกร่งบุกตะลุยโลกเวทมนตร์ ∼, 金装のヴェルメイユ, 金装のヴェルメイユ ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む, 金装的维尔梅, 金装的维尔梅～濒临堕落的魔法师和最强的灾厄一起冲入魔法世界～, 금장의 벨메이�, 금장의 벨메이유 ∼벼랑 끝 마술사는 최강의 재액과 마법세계를 헤쳐나간다",Ongoing,Manga,"['Aksiyon', 'Drama', 'Ecchi', 'Fantastik', 'Komedi', 'Macera', 'Romantizm', 'Shounen']",AMANA Kouta,UMEZU Youko,18 Haziran 2024,,,23.1,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/PTIkseEOtbWf7GBHedovzqrjZA9U2b5O.webp
İdam Mahkumu,"Death Row Boy, เด็กหนุ่มผู้ลงทัณฑ์, 死刑少年, 사형소년",Ongoing,Manhwa,"['Aksiyon', 'Dram', 'Psikolojik', 'Seinen', 'Trajedi']",KIM SOONG NYUNG,GWANG SAN,28 Mayıs 2024,"Ailesini Kim Shin yüzünden kaybeden Ji-hoo bir başka mağdur olan Du-seok ile tanışır ve yaşayan bir silah olmak için eğitilir. Sonrasında katili çıplak elleriyle öldürmek için tek başına hapise girer. “1977’den beri ülkemizde idam cezası olmadı, birinin halletmesi gerekmez mi?",,26,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/jl7eUmmBf9RpPCQEIKGBrF6bHpVchGdM.webp
The Return Of Apocalypses Tyrant,회귀한 아포칼립스의 폭군,Ongoing,Manhwa,"['Aksiyon', 'Manhwa']","Kim Dokbae, Lee Hyoungsuk","Lee Mundong, Pebaragi",13 Aralık 2023,"Kıyamet Tiranının Dönüşü:[The Return Of Apocalypses Tyrant]
Cehennem Kapısı’nın açılmasından 25 yıl ardından tek bir kişi hariç tüm insanlık dünyadan silinmiştir.",,11,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/vZqALvatw3qzSZst1BskIdahDrejCPAI.webp
Super String: Marco Polo’s Travel to the Multiverse,"Le Livre des Multivers, Super String: Marco Polo's Travel to Multiverse, Super String: Marco Polo's Travel to the Multiverse, ซูเปอร์สตริง - สู่มัลติเวิร์สมาร์โคโปโล, スーパーストリング 異世界見聞録, 异世界见闻录, 超弦聯盟：異世界見聞錄, 슈퍼스트링 -이세계 견문록-",Hiatus,Manga,"['Aksiyon', 'Dram', 'Fantastik', 'Komedi', 'Macera', 'Shounen']",YOUN In-Wan,Boichi,1 Eylül 2023,"Polo ailesinin en büyük oğlu Marco, küçük kardeşlerine bakmaya çalışıyor. Garip ve talihsiz bir gemi kazası sonrasında kendini Asya’da bulan Marco, ziyaret etmemesi konusunda uyarıldığı bir yere gelmiştir. Yakında, ailesini koruma ile dünyayı kurtarma arasında bir seçim yapmak zorunda kalması sonucu beklenmedik bir yolculuğun eşiğinde olduğunu fark eder.",,5,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/paJG8zS6yQY1Mcc8x4S8u0K93zcf0acA.webp
I Have Max Level Luck,"My Luck Is Max Level, 俺の幸運はカンストレベル, 내 행운은 만렙이다",Hiatus,Manhwa,"['Aksiyon', 'Fantastik', 'İsekai', 'Macera', 'Manhwa', 'Oyun', 'Sanal Gerçeklik', 'Sistem']","Dong Ju [Add, ]kamille [Add, ]","kamille [Add, ]",8 Temmuz 2023,"Aşırı zorluğu nedeniyle övülen bir Sanal Gerçeklik oyunu! Hansung bir zamanlar en üst düzey rütbeli biriydi, ama oyunun içinde kapana kısıldı. Mevcut istatistikleriyle hayatta kalmak zor. Ancak, Hansung’un yüksek bir şans seviyesi var! Rastgele kutulardan SSS sınıfı becerileri mi elde ediyorsunuz? Bu kolay! Slot makinesinden ikramiyeyi vurmak? Çok kolay! Şansla dolup taşıyor! Peki, Hansung bu oyunu sadece şansına güvenerek güvenli bir şekilde temizleyebilir mi?",,42,https://cdn.hellowebtoon.xyz/2FdroCm140aCfam32/gbcs/classico/Ojrl5LQdI03Ko27M7kbuF29p2icsvQGZ.webp
